8th grade math,,,,,
,,,,,
# Correct,Scale Score,Growth points,Target score,SE,
0,1259,276,1535,138,
1,1352,154,1506,77,
2,1408,112,1520,56,
3,1442,94,1536,47,
4,1467,82,1549,41,
5,1488,76,1564,38,
6,1506,70,1576,35,
7,1521,66,1587,33,
8,1535,64,1599,32,
9,1548,62,1610,31,
10,1561,60,1621,30,
11,1572,58,1630,29,
12,1583,56,1639,28,Level 1/2
13,1594,56,1650,28,
14,1604,56,1660,28,
15,1614,56,1670,28,
16,1624,54,1678,27,
17,1634,54,1688,27,
18,1644,54,1698,27,
19,1654,56,1710,28,Level 2/3
20,1665,,,,
21,1675,,,,
22,1686,,,,
23,1697,,,,
24,1708,,,,
25,1720,,,,
26,1733,,,,
27,1747,,,,
28,1763,,,,
29,1780,,,,
30,1801,,,,
31,1826,,,,
32,1860,,,,
33,1915,,,,
34,2008,,,,
