9th grade math,,,,,
,,,,,
# Correct,Scale Score,Growth points,Target score,SE,
0,1270,276,1546,138,
1,1363,154,1517,77,
2,1419,112,1531,56,
3,1453,92,1545,46,
4,1478,82,1560,41,
5,1498,74,1572,37,
6,1516,70,1586,35,
7,1531,66,1597,33,
8,1545,64,1609,32,
9,1558,60,1618,30,
10,1570,58,1628,29,
11,1581,58,1639,29,Level 1/2
12,1592,56,1648,28,
13,1602,56,1658,28,
14,1612,54,1666,27,
15,1622,54,1676,27,
16,1632,54,1686,27,
17,1641,54,1695,27,
18,1651,54,1705,27,
19,1660,54,1714,27,
20,1670,54,1724,27,Level 2/3
21,1679,,,,
22,1689,,,,
23,1699,,,,
24,1709,,,,
25,1720,,,,
26,1731,,,,
27,1743,,,,
28,1756,,,,
29,1770,,,,
30,1785,,,,
31,1803,,,,
32,1823,,,,
33,1848,,,,
34,1883,,,,
35,1939,,,,
36,2032,,,,
